Readers,Writers,OpsPerThread,Time,TotalOps,Throughput
2,1,10000,0.006977,30000,4299735.11
2,1,100000,0.052871,300000,5674171.91
2,2,10000,0.004561,40000,8770564.23
2,2,100000,0.041312,400000,9682397.98
4,1,10000,0.012131,50000,4121663.26
4,1,100000,0.129356,500000,3865298.61
4,2,10000,0.017426,60000,3443100.72
4,2,100000,0.128530,600000,4668174.78
8,1,10000,0.034948,90000,2575223.20
8,1,100000,0.408938,900000,2200823.10
8,2,10000,0.077023,100000,1298315.48
8,2,100000,0.520455,1000000,1921396.16
